,Centre_Name,count(DISTINCT Date)
0,GWALIOR,606
1,MANDI,1142
2,KOLKATA,4292
3,KOHIMA,714
4,INDORE,1142
5,MANGALORE,22
6,RAJKOT,1239
7,PANCHKULA,257
8,AIZWAL,4291
9,TIRUNELVELI,166
10,VIJAYWADA,1239
11,VISAKHAPATNAM,520
12,AGARTALA,4292
13,PATNA,4292
14,HISAR,1142
15,THIRUCHIRAPALLI,1142
16,GUWAHATI,4292
17,DEHRADUN,2096
18,PORT BLAIR,708
19,WAYANAD,68
20,DELHI,4292
21,REWA,166
22,AHMEDABAD,4292
23,HYDERABAD,4291
24,DINDIGUL,1239
25,CHANDIGARH,2109
26,ITANAGAR,1142
27,KOTA,1142
28,BENGALURU,4292
29,SAGAR,166
30,SILIGURI,1142
31,T.PURAM,4291
32,LUDHIANA,2095
33,MYSORE,22
34,LUCKNOW,4292
35,PALAKKAD,68
36,CUTTACK,1142
37,ROURKELA,520
38,SRINAGAR,2095
39,KOZHIKODE,606
40,BHUBANESHWAR,4292
41,CHENNAI,4292
42,JODHPUR,1142
43,PANAJI,707
44,PUDUCHERRY,708
45,JAMMU,2096
46,BHAGALPUR,1142
47,DHARWAD,1142
48,DHARAMSHALA,27
49,PURNIA,107
50,BHOPAL,4291
51,JABALPUR,606
52,JAIPUR,4292
53,VARANASI,1142
54,SAMBALPUR,1142
55,KARNAL,1142
56,NAGPUR,1142
57,DIMAPUR,1142
58,HALDWANI,54
59,ERNAKULAM,1070
60,BATHINDA,1142
61,GURGAON,257
62,COIMBATORE,166
63,KANPUR,1247
64,SHIMLA,4292
65,AMRITSAR,2093
66,THRISSUR,68
67,RANCHI,2097
68,SHILLONG,4292
69,AGRA,1142
70,RAIPUR,2096
71,MUMBAI,4292
